Utterance,Type
heidegger how are you,Conversation
yeah i'm,Conversation
Good Thank you,Conversation
yeah okay well what's your goals,Conversation
i'm i'm i'm pursuing my masters in computer science you,Conversation
i'm on supposing monsters,Conversation
My that's official intelligence,Conversation
Oh that's great,Conversation
yeah hey did you start this spring,Conversation
spring,Conversation
theme,Conversation
And you yes,Conversation
same great,Conversation
yeah I was thinking to do some you know specialization Ai but,Conversation
yeah,Conversation
We started the game^ then,Conversation
Yes^ yeah,Conversation
justice,Conversation
Okay,Conversation
Can you see my screen now,Conversation
Yes^ yes^ I can see your screen,Conversation
yeah,Conversation
First,Conversation
Yes^ okay,Conversation
yeah,Conversation
Oh^ you don't do that yes,Strategy
Yes,Conversation
Yes^ sorry okay,Conversation
it's okay just put the same,Conversation
yeah,Conversation
Just read this again,Conversation
Okay,Conversation
Now some issues with my,Conversation
yeah,Conversation
Okay,Conversation
Can you see my screen now,Conversation
Yes^ I can,Conversation
yeah,Conversation
Yes^ that someone was shouting in Ireland,Conversation
Oh that's okay,Conversation
yeah i'll get,Conversation
This is,Conversation
Okay,Conversation
Just one more just joined the line which you^ which I do first,Conversation
Year here,Instruction
vertically,Instruction
horizontally,Instruction
Okay yeah,Conversation
Okay^ good okay,Conversation
All right^ you're done just same either row on the column,Instruction
Okay^ it is a second into our columns^ can you please join the second and third columns of the first show,Instruction
Okay,Conversation
Okay^ that was started forth right,Conversation
So I,Conversation
OK,Conversation
Okay,Conversation
So any justice again okay,Conversation
So,Conversation
it's okay to be talking,Conversation
yeah I think it's my done,Conversation
Your thing^ so I think it's mine^ because we really quality,Conversation
yeah,Conversation
yeah so,Conversation
You can join now the third and fourth columns the first row,Instruction
Local up^ please,Instruction
yeah,Conversation
You can just draw a line from the third column first second dots,Instruction
here,Conversation
yeah the first and second ones,Instruction
Not the column is correct the column is correct^ with the first one^ second one^ something the door,Instruction
yeah,Conversation
Correct,Conversation
yeah,Conversation
yeah it's your turn now,Conversation
Okay,Conversation
So now we'll just join,Instruction
The line like to call them again join second enter dots yes,Instruction
yeah,Conversation
yeah,Conversation
join the,Instruction
dots of the second row,Instruction
For them^ yes right,Instruction
Now,Conversation
Oh sorry,Conversation
it's your turn,Conversation
yeah,Conversation
No^ that was mine day,Conversation
yeah this is your color right and one,Conversation
don't always,Conversation
know what you're doing yeah yeah,Conversation
yeah you're done,Conversation
Okay i'm,Conversation
just maybe draw a line from,Instruction
Yet join the second and third darts of the fifth call,Instruction
yeah,Conversation
The last column yeah fifth one^ second and third,Instruction
Yes^ yeah,Conversation
yeah,Conversation
Okay um,Conversation
No,Conversation
Join,Instruction
Consider the second column join the fourth and fifth,Instruction
Yes,Conversation
Yes^ yeah,Conversation
Okay,Conversation
yeah just a minute,Conversation
just joined the fourth interest dots,Instruction
yeah,Conversation
For me now,Conversation
Okay^ so just so you can make this quiet over there yeah,Conversation
Yes^ is one,Conversation
One okay it's just one right,Instruction
yeah,Conversation
Okay,Conversation
You can draw a line from your country^ the first column The fourth and fifth,Instruction
yeah,Conversation
You can just make it right,Conversation
Kevin remember that's right oh yeah last,Conversation
Okay yeah,Conversation
it's your turn right^ you have to give me,Conversation
yeah,Conversation
yeah,Conversation
yeah,Conversation
Yes^ fill the square so,Instruction
yeah to,Conversation
Today yeah,Conversation
yeah,Conversation
yeah maybe you want me to be doing,Conversation
you're just a minute,Conversation
Just just put on the line,Instruction
You can just hit it on the fifth column,Instruction
You can join,Instruction
The first,Conversation
2345 and six,Conversation
don't connect him,Conversation
yeah six for me,Conversation
Sam,Conversation
And eight 910,Conversation
Okay i've been in US glories 10,Conversation
And the score is six I guess,Conversation
yeah,Conversation
Okay,Conversation
I think we are done with this shall we play another one,Conversation
yeah let's go and play the tick tock,Conversation
yeah,Conversation
Okay^ I started the game^ then,Conversation
Okay yeah,Conversation
Please,Conversation
Just in between your to access,Conversation
This is mine,Conversation
Okay,Conversation
You can just put in all,Instruction
left,Instruction
The Middle box yeah,Instruction
yeah,Conversation
yeah,Conversation
yeah,Conversation
yeah it's nice meeting you in Isla,Conversation
yeah same snakes playing with you,Conversation
Again bye,Conversation
bye have a great,Conversation
Time stopping the recording,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
