Utterance,Type
 So,Conversation
 Sally what what what are you working on SMB,Conversation
 Oh no i'm a citizen I i've been in the US^ since like 2004 I did my undergrad and graduate in 2008 2009,Conversation
 Then I started working,Conversation
 Back then^ I got my citizenship and bring 16,Conversation
 Right now it's coming back to school,Conversation
 After what 12 years yeah,Conversation
 that's awesome,Conversation
 yeah i'm hoping to turn this program into i'm going to turn it into a PhD Program,Conversation
 So^ then they didn't visitors and,Conversation
 2009 2008 yeah,Conversation
 Still^ I mean you still a little Pasty,Conversation
 yeah man it's uh it's you know^ like i'm at a point in my career that you know I want to get a PhD,Conversation
 Okay,Conversation
 I want you,Conversation
 know a bastard in 15 force that I looked at for end up as I came here for masters,Conversation
Okay,Conversation
 So clearly working,Conversation
 I work for a company called Alliant insurance services^ our New York,Conversation
 i'm in Texas right now but,Conversation
 You record,Conversation
 But we do,Conversation
 We do insurance brokering for a specialized specialty you know real estate,Conversation
 And I do catastrophe modeling for them so basically you know understanding how models are done,Conversation
 For me right and we execute you know models for,Conversation
 Her game severe thunderstorms earthquakes^ you know to see him what you know real estate losses can be based on those,Conversation
 that's good yeah,Conversation
 Okay okay yeah let's start the games,Conversation
 What you're doing doctrine boxers,Instruction
 i'll explain you,Conversation
 Know based on the game,Conversation
Okay,Conversation
 So I share you the link,Conversation
Okay,Conversation
 So what this game is like you need to make a square^ so we will have access will keep drawing drawing the lines,Instruction
 Where we completed the box is going to me,Instruction
 How many more boxes^ a person will make so he's going to,Instruction
 I am ready^ sir,Conversation
yeah,Conversation
 star okay,Conversation
 So just^ we need to randomly placed lines,Instruction
 Okay So whoever will finish the box he'll get that box so finally who will make more boxes haldeman,Instruction
 OK^ I see,Conversation
 you've already played,Conversation
yeah,Conversation
 You should not give me an opportunity to make this say no^ I made the box,Conversation
 With my line,Conversation
 You give you kept to a line here right,Conversation
 Oh Okay^ so it,Conversation
 Does Kim,Conversation
 ic ic ic ic,Conversation
 So^ and I made a box^ so you should not do that opportunity,Strategy
 Now we can do anything^ there is no more free boxes left,Conversation
 yeah he think he he need to dry land size that I make number of less boxes,Conversation
 Oh^ I see So if you make a box^ you can keep on making boxes,Instruction
 yeah oh Lord,Conversation
 that's not gonna be fun okay let's try this,Conversation
 Oh no^ no^ no,Conversation
 That was,Conversation
23456,Conversation
 You should know,Conversation
 yeah I think you can build the rest,Conversation
 Okay,Conversation
 Do we have to do something like write a message^ or something,Conversation
 Nothing like that I just,Conversation
 limit the video,Conversation
 let's plan,Conversation
 play again,Conversation
 There is one more game^ we have to play a,Conversation
 game^ I am sharing a tic TAC toe,Conversation
 tic TAC,Conversation
 toe,Conversation
 You,Conversation
 gotta pee man that's what we call it,Conversation
They call it an end,Conversation
 In the,Conversation
 end or do we call a quarter,Conversation
 Did you get dealing,Conversation
 With an injury,Conversation
yeah,Conversation
yeah I did,Conversation
 i'm joining,Conversation
again,Conversation
 Right play,Conversation
left against,Conversation
 Oh^ is it,Conversation
 Can you create,Conversation
 i'm facing this problem from a steady I don't know I,Conversation
 Think let's play docs and Marxism,Conversation
 Okay,Conversation
 yeah I don't know^ for some reason,Conversation
 i'm getting out of the game,Conversation
 Sharing you the link,Conversation
 Let go let go,Conversation
 You know my strategy and I stay away from you,Conversation
know,Conversation
 The now i'm stuck,Conversation
 I guess player one is,Conversation
 going to,Conversation
 demolish me,Conversation
 you're gonna get all the boxes here,Conversation
 Vegas,Conversation
yeah,Conversation
 Oh,Conversation
 yeah I got for,Conversation
 ya know it's 10,Conversation
 Okay hey guess^ a lot of the boxes,Conversation
 Oh^ I missed it,Conversation
 Alright let's,Conversation
 yeah let's do this one more one more time,Conversation
Okay,Conversation
 Okay,Conversation
 concentrate,Conversation
 i'm ready,Conversation
 To do my same strategy here,Conversation
yeah,Conversation
 Or you could have gone here,Strategy
Okay,Conversation
 I miss that,Conversation
yeah,Conversation
 Oh,Conversation
 yeah,Conversation
 along,Conversation
 i'll show you,Conversation
 All right,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
