Utterance,Type
Oh^ what do you mean,Conversation
Meeting ID no I don't have that,Conversation
discord,Conversation
Oh yeah I think I got it,Conversation
Is it your uncle your uncle,Conversation
Okay^ oh there we go Okay^ I think we'll stop here,Conversation
alright,Conversation
Can you hear me Hello,Conversation
Your MIC your MIC,Conversation
i'm sorry i'm sorry,Conversation
yeah,Conversation
All right^ um I think we're going to do this,Conversation
yeah,Conversation
So how are you how was your day,Conversation
Good good good so far can complain and yours,Conversation
yeah pretty good,Conversation
All right^ okay,Conversation
So^ first of all like you know^ like I said i'm going to say my name and mention all those different thing obese interest and all that okay,Conversation
Yes^ and like right when I finish^ you will do you will do the same^ and when you finish i'm going to talk about the instructions right,Conversation
Okay got it,Conversation
My name is Mubarak occur moon my obs is to cook and workout my interest is sport gaming my I major in computer science i'm doing my master I know,Conversation
The class i'm taking our aim for like artificial intelligence computer network compiler design graph theory right now i'm not working^ and we are in 2021 what I like is to eat and have fun what I dislike it is to be indoor,Conversation
My favorite food is Mexican food spicy,Conversation
pastime^ is to play video games,Conversation
list of activity^ I like to do are to go for a walk or watch movies or sit in the sun my abbott to eat healthy foods and clean the Max cleaning cleaning the mess and be respectful,Conversation
And my bucket list is to go to Bali and to explore the cave my routine is to wake up workout meditation and black tea,Conversation
My exercise are squats push ups jumping Jacks,Conversation
My goal is to be a full time full stack developer and open my own gym,Conversation
wishes^ is to help others and my dream is to be an expert at something all right^ your turn,Conversation
it's interesting yeah,Conversation
yeah and you also need to send some emotion^ you know feel free to have emotion^ when you like oh wow you know,Conversation
yeah,Conversation
yeah Okay^ you can go,Conversation
Oh yeah my name is guided learning and doing my masters of i'm doing,Conversation
i'm doing my masters in computer science major,Conversation
I have completed computer architecture and computer algorithms in the last semester^ and now i'm going through the courses like core fundamentals in a data science and programming languages^ my likes or,Conversation
or watching TV going out hanging out with friends and most important is highlight to sleep more yeah,Conversation
dislike Sir I don't like if something is very messy but is not clean and my favorite habits are like gardening allowed to garden allowed to plant,Conversation
Growth plans and my favorite pastime^ is my gardening only and sleeping also and going out hanging out,Conversation
Okay again shopping all these are my favorite pastimes after this I wake up cook for myself and my family and we try to go out and spend some family time di D and my bucket list is to travel I love traveling I want to explore many places like Hawaii,Conversation
Parties,Conversation
That are all in paint bucket,Conversation
Listen 30 billion next few years^ so my daily routine is pretty simple I get up I do my prayers I cook for my family doesn't have some family time I can I study and that's it simple rotten and coming to exercise I do a I don't do exercise^ but I do some yoga and my goals are to,Conversation
I want to pursue my I want to continue my studies after my master's also at this point i'm not,Conversation
Very much sure to like what,Conversation
area i'm going to choose^ but i'm sure that i'm going to continue my studies and coming to my dreams^ I want to make a thesis paper that was my dream so yeah I wish my dreams come true that's it,Conversation
yeah it's well alright so,Conversation
we're going to play^ they were going to play the game,Conversation
called,Conversation
I forgot the name,Conversation
Chris,Conversation
yeah dot dot yeah that sandbox,Conversation
game so and the instructions are very simple^ so the player take turns adding a line between two doubles the player^ complete the four side of the box her parents one point^ and takes another turn,Instruction
The game hands when no more line can be place the winner is the player,Instruction
The winner is the player with the most points,Instruction
Oh,Conversation
All right now we're going to start the game and,Instruction
What i'm going to do is i'm going to,Conversation
share my screen,Conversation
mm hmm,Conversation
And we're going to store it,Conversation
copy,Conversation
chip chip chip chip chip,Conversation
Can you send a link to zoom chat,Conversation
Through zoom oh sorry my bad it is robbing Peter i'm in practical like better all right,Conversation
Let me see if I can see that something again,Conversation
All right,Conversation
Okay let's play,Conversation
it's your turn,Conversation
Oh it's my done,Conversation
yeah it's your turn to say okay it's my turn now all right,Instruction
So^ so what so what would be what would be your technique to win this game,Strategy
I just want to follow you or defend your not finishing your boxes,Strategy
Oh that's pretty neat,Conversation
Okay,Conversation
All right,Conversation
I was playing with the computer earlier^ but the computer is too small,Conversation
So the computer one,Conversation
yeah all the time,Conversation
Oh,Conversation
So it's my,Conversation
yep,Conversation
Oh it's my turn,Conversation
yeah,Conversation
yeah,Conversation
yeah that was pretty sleek,Conversation
running out of time,Conversation
Oh^ oh,Conversation
yeah,Conversation
Oh^ really,Conversation
yeah,Conversation
I got another one,Conversation
yeah yeah i'm doing my score,Conversation
And right now i'm winning again look,Conversation
It doesn't matter which one,Conversation
Which one you shake yeah,Conversation
i'm not checking properly yeah,Conversation
yeah,Conversation
One and,Conversation
I think it's your,Conversation
yep again,Conversation
Let me shake it,Conversation
Oh that's,Conversation
Oh^ there we go,Conversation
yeah yeah,Conversation
Yes,Conversation
Okay^ I can play over there,Conversation
yeah,Conversation
Yes,Conversation
Oh you're not so here^ you will,Conversation
grow,Conversation
So,Conversation
You can create another box like trying to make it somewhere else,Strategy
Okay,Conversation
You don't have to be like clothes^ you know,Conversation
yeah cartoon,Conversation
my turn I have another one,Instruction
Oh,Conversation
I wasn't you're looking at you,Conversation
Oh she's,Conversation
You have another one look look carefully^ you had,Instruction
You got another point,Instruction
Thank you,Conversation
yeah,Conversation
I just did now,Conversation
This,Conversation
was your turn yeah,Conversation
well,Conversation
You run out of time,Conversation
Okay yeah it's almost done will like we need to play until like we can,Conversation
yeah we have like a big green that's why it's taking forever,Conversation
yeah I wish we have the tree by a tree,Conversation
yeah I wish,Conversation
Okay,Conversation
yeah,Conversation
again,Conversation
yeah,Conversation
i'm super smooth on,Conversation
This,Conversation
Oh,Conversation
Okay that's good,Conversation
Good,Conversation
Okay,Conversation
Now you^ you have my trick now,Conversation
it's your turn it's your turn,Instruction
timeout yeah,Conversation
All right,Conversation
Okay,Conversation
I think this one I got it,Conversation
I got it I got it I got it I got it,Conversation
done,Conversation
My turn all right,Conversation
whoa whoa okay,Conversation
yeah yeah,Conversation
I just follow your trick,Conversation
Okay okay okay okay,Conversation
yeah at the end is very difficult,Conversation
Am I done,Conversation
Okay,Conversation
whoa,Conversation
that's nice yeah,Conversation
yeah it's better to play play for somebody to win,Strategy
Because we want to finish the song quick,Conversation
My,Conversation
it's my,Conversation
Okay^ my done right,Conversation
yeah,Conversation
And then,Conversation
There we go alright^ so that was the first round now let's let's start in not around,Conversation
yeah sure^ but this time around like we need to since you went^ we need to like we need to since both of us know now we need to be a little bit like more,Conversation
yeah,Conversation
All right^ yeah I,Conversation
need to send you that^ oh no,Conversation
I think I didn't report it,Conversation
yeah you're already in,Conversation
So it's my,Conversation
yeah,Conversation
My turn oh,Conversation
I did the first the first round^ you were like the newbies and me^ I was desperate,Conversation
So the second round we were like experience right,Conversation
yeah we both,Conversation
Okay,Conversation
yeah,Conversation
Thank you,Conversation
that's what I like,Conversation
Okay^ I think I have another point,Conversation
You see^ when I have that this plus,Strategy
For sure I will make it,Strategy
Oh you're falling that pattern,Strategy
yeah,Conversation
Time yeah,Conversation
Oh,Conversation
Okay,Conversation
Your turn okay,Conversation
You play,Conversation
yeah,Conversation
Moving quick,Conversation
Okay,Conversation
check them out careful,Conversation
Though for real but you good,Conversation
So far you play like be,Conversation
So it's not easy for me,Conversation
Okay^ I think I,Conversation
gave,Conversation
it's my turn now,Conversation
Oh,Conversation
it's my turn,Conversation
it's my yeah,Conversation
alright,Conversation
awesome awesome,Conversation
yeah let's,Conversation
finish this game,Conversation
yeah you definitely the master this game all right,Conversation
My done,Conversation
yeah yeah you can wash it off^ you can wash it off like,Conversation
it's your turn like no,Conversation
yeah now it's your turn,Conversation
it's oh it's my turn,Conversation
yeah,Conversation
Yes,Conversation
yep alright^ so I think,Conversation
I think we good now,Conversation
yeah with what we have let me check Now let me stop the sharing,Conversation
This is all the data we need,Conversation
yeah and stop,Conversation
All right,Conversation
This is all the data we need so i'm going to hand the MIC this meeting^ and then I will call you on what's up,Conversation
