Utterance,Type
I spend the know how are you,Conversation
i'm good Thank you,Conversation
Major,Conversation
In computer science,Conversation
i'm gonna be good okay,Conversation
Oh that's great,Conversation
What are you how are being,Conversation
um I don't know,Conversation
yeah,Conversation
you're the one right,Conversation
Listening as it gets I don't have anything in,Conversation
case,Conversation
He came to strike^ we have to play game,Conversation
Okay^ we have to play the games,Conversation
OK OK,Conversation
OK^ will be the experience from your movie okay,Conversation
yeah that's fine,Conversation
I will share the screen and you,Conversation
Have you already played with anyone,Conversation
Yes^ I just played once yeah,Conversation
me too,Conversation
Okay^ so you know that will try,Conversation
again,Conversation
Yes^ okay,Conversation
Yes^ I can see your screen,Conversation
Okay you're,Conversation
Playing,Conversation
In things^ why not play and go do,Conversation
Your thing go with cream,Conversation
yeah read,Conversation
Over it and fine with it^ do you want to start the game,Conversation
No^ you can you can start,Conversation
corners^ you can draw a line,Instruction
right or left,Instruction
screen to the to the top,Instruction
Top okay yeah top left,Instruction
Top right okay,Instruction
everything's fine your wish,Conversation
yo,Conversation
yo,Conversation
Just draw a line in the middle,Instruction
you're,Conversation
Just joining joining the lines like you can see^ the last row,Instruction
crew oh,Conversation
yeah yeah yeah right,Conversation
Okay,Conversation
it's going to take a lot of time,Conversation
Yes,Conversation
Just horizontal line battle took the first like,Conversation
This one,Conversation
yeah,Conversation
Yes,Conversation
Now^ your,Conversation
job or horizontal line in the forced called photo joining the second intro dots,Instruction
Next photo,Conversation
or second entered,Conversation
This one okay,Conversation
Yes,Conversation
yep,Conversation
yeah,Conversation
Oh^ can you,Conversation
Just join online from,Conversation
second and third rose^ you can join the fourth fourth one,Instruction
Yes,Conversation
In the fourth row join the fourth and fifth thoughts,Conversation
Like you know sleeping line yeah,Conversation
Okay^ and now,Conversation
left you can just join you make a red line between the two lines^ you have already paid,Conversation
To the left,Conversation
Now,Conversation
yeah the third and fourth rules joined the foreign food trucks^ not that one that left,Conversation
Know to the to the left more left,Conversation
Yes,Conversation
yeah,Conversation
Okay,Conversation
Now just join the or dot like the last row^ you can join the first two yeah,Conversation
Yes,Conversation
Okay um,Conversation
You,Conversation
can make a line,Instruction
If you see to go right most line^ the last row just make a line,Instruction
No,Conversation
One yes,Conversation
This one right,Conversation
yeah,Conversation
Okay,Conversation
The four dots,Conversation
In,Conversation
columns,Conversation
columns yes,Conversation
Yes,Conversation
Just to see,Conversation
You know,Conversation
You can make the squares,Conversation
Okay^ then,Conversation
yeah,Conversation
yeah,Conversation
Right,Conversation
Okay,Conversation
yeah,Conversation
yeah,Conversation
Why should I put my you know just just one,Conversation
Second^ second box,Conversation
You know no guide about the what Center box,Conversation
Yes^ yes,Conversation
yeah put an x to do beside your own,Instruction
Just,Conversation
The next,Conversation
Six months yeah,Conversation
That,Conversation
Okay^ so no win or lose,Conversation
yeah,Conversation
yeah,Conversation
Okay,Conversation
Recording,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
