Utterance,Type
How are you i'm fine^ how are you,Conversation
i'm fine OK,Conversation
OK^ let me introduce myself and divya I started displaying my main that is artificial intelligence^ what about you,Conversation
yeah let me do the spring my reduce computers,Conversation
What are your hobbies,Conversation
What are you,Conversation
laughing,Conversation
Okay,Conversation
rice,Conversation
wow Okay^ I think^ for this game,Conversation
Are you experienced player or newby,Conversation
newby,Conversation
Okay^ then i'm an experienced player,Conversation
i'm shedding the game link in chat box,Conversation
When did you get the link,Conversation
yeah,Conversation
Start sharing the screen,Conversation
yeah Can you see my screen,Conversation
yeah again,Conversation
Okay^ you blend,Conversation
from you,Conversation
You play the game in chrome,Conversation
yeah,Conversation
Can you see the screen,Conversation
yeah,Conversation
yeah,Conversation
what's your question,Conversation
You can place your,Conversation
Stop screen sharing yeah yeah I think we are done with again,Conversation
Okay nice meeting you Sony I think this is the first time I met you,Conversation
yeah^ this is the last day,Conversation
yeah,Conversation
I,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
