Utterance,Type
i'm good^ how are you,Conversation
i'm fine Okay^ let me introduce myself,Conversation
again,Conversation
What about you,Conversation
yeah even the same have been enrolled in the spring semester for the image here,Conversation
With permission from the concentration^ I guess^ it was an anonymous right,Conversation
Why,Conversation
Not so specifically,Conversation
But just browsing something,Conversation
i'm very fascinated about the accessories are like mobile gadgets to be more specific,Conversation
to play,Conversation
This game experience and you are the newbie player and share the link for you,Conversation
well,Conversation
yeah just one second,Conversation
How about the extension for this extension,Conversation
Microsoft different extension,Conversation
Okay,Conversation
Can you see my screen,Conversation
just give me a SEC,Conversation
Oh,Conversation
yeah again,Conversation
Okay^ explain the chrome,Conversation
I share the screen and then you know this game nine dots and boxes,Instruction
No,Conversation
Okay^ oh they'll be fine to for,Conversation
Each one of those i'll start the game,Conversation
I draw a line by correcting two dogs,Instruction
and the next one is yours,Instruction
it's your always like whenever you want^ you can draw a line,Instruction
and processes that we have to make a square,Instruction
Oh,Conversation
If you make a square,Instruction
And it was,Conversation
yeah,Conversation
yeah,Conversation
I playing,Conversation
will show that fun it's,Conversation
Over the boss was made me made by,Conversation
Certain I guess,Conversation
yeah,Conversation
Okay start our next game which is tic TAC toe,Conversation
see my screen,Conversation
yeah,Conversation
Just,Conversation
Keep your,Conversation
ears open,Conversation
For us to be mine,Conversation
visitor Center yeah,Strategy
perfect,Conversation
In the first row first column oh yeah,Conversation
Yes^ you know where to have it yet,Conversation
yeah,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
