Utterance,Type
Sorry,Conversation
You had played once so,Conversation
I have played three times,Conversation
Okay^ so you're the experienced,Conversation
player and it,Conversation
is time to be,Conversation
yeah sure,Conversation
yeah but they won't care or your hobbies,Conversation
My hobbies this listening is effective,Conversation
that's not,Conversation
yeah,Conversation
it's like,Conversation
Charlie,Conversation
On many,Conversation
Reading books,Conversation
Oh yeah,Conversation
Thanks man,Conversation
share the screen,Conversation
I think,Conversation
You have to,Conversation
have to send me this link,Conversation
ready,Conversation
ready ready,Conversation
Are you sharing the screen,Conversation
again,Conversation
Thanks,Conversation
And we have to play the game tic TAC toe,Instruction
yeah,Conversation
yeah,Conversation
One thing you want,Conversation
Is everything is right,Conversation
there,Conversation
Have computer games,Conversation
We have to,Conversation
have this link to the Google sheet,Conversation
To you^ after the recording,Conversation
Okay,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
