Utterance,Type
I did yeah i'm fine^ how are you,Conversation
yeah okay well what's your major,Conversation
My major is computer science major,Conversation
yeah mine is increasing returns to just start the spring or you're the senior,Conversation
yeah I am reading a backslash in 2020,Conversation
When they join,Conversation
us in the spring 2021,Conversation
Okay^ so this is the game,Instruction
yeah yeah can I split out a game^ if a bit,Instruction
yeah it's nothing you have to draw a line they'll be fine to five dogs and they think in the middle Oh^ we have to join two doors,Instruction
Of if I joined them first next is your turn,Instruction
Okay^ and who will get sometimes they try^ they have to try to make a square,Instruction
Okay,Conversation
If you have done a square then you'll get one more chance to do,Instruction
Okay^ I think bottom game is this amount of they'll give us to Dr,Conversation
Thank you,Conversation
yeah,Conversation
You have someone endings,Conversation
yeah,Conversation
yeah,Conversation
link in the chat,Conversation
boxes can,Conversation
You share the screen,Conversation
yeah,Conversation
yeah did you share it,Conversation
cheering know,Conversation
like this ever changing,Conversation
john so sorry for,Conversation
yeah you can choose,Conversation
Okay i'm ready,Conversation
yeah I bought it,Conversation
yeah,Conversation
yeah,Conversation
yeah,Conversation
Sharing,Conversation
yeah I started the game,Conversation
yeah i'm stalking,Conversation
Yes,Conversation
yeah,Conversation
The game yeah yeah,Conversation
Nice,Conversation
yeah,Conversation
Nice,Conversation
bye bye,Conversation
Just a second stop the recording,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
