Utterance,Type
Hi^ How are you,Conversation
Fine,Conversation
Oh^ so what is your major in,Conversation
computer science yours,Conversation
yeah me too nice to meet you,Conversation
played game this game for,Conversation
yeah alameda,Conversation
Experienced player,Conversation
You with a newbie,Conversation
Okay,Conversation
i'll show you the screen,Conversation
Okay,Conversation
The first time which will miss squares,Conversation
yeah,Conversation
I think it's not like you have to start the game and send me that,Conversation
yeah,Conversation
yeah,Conversation
yeah,Conversation
Okay,Conversation
Stop the plane,Conversation
Okay bye,Conversation
My a great day,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
