Utterance,Type
My name is,Conversation
How are you doing,Conversation
i'm fine^ how are you,Conversation
i'm doing good and what are your^ what is your major,Conversation
My major is computer science,Conversation
Mine is a master's in cyber security there is computer science and security,Conversation
Okay,Conversation
So what I have injuries actually,Conversation
yeah,Conversation
I mean doesn't playing games play,Conversation
games,Conversation
Okay^ so those are your hobbies,Conversation
My hobbies yeah,Conversation
Okay^ and one of your favorite,Conversation
Interesting sub check,Conversation
My favorite subject is my,Conversation
yeah,Conversation
Sorry okay oh,Conversation
Great so you like coding,Conversation
yeah yeah I like,Conversation
Oh wow that's great,Conversation
yeah What about you^ what is your favorite subject in security,Conversation
So it present,Conversation
Going with cryptography,Conversation
And so it's really interesting going through different security encryption mechanisms and certification so have the,Conversation
web servers certified themselves and like was no I presently are learning of public key encryption,Conversation
really interesting that,Conversation
Oh^ you like to send it to Chiang MAI,Conversation
yeah yeah yeah,Conversation
This,Conversation
is interesting^ this is this major interesting,Conversation
yeah I like this major actually it's my interesting field from my undergraduate level,Conversation
that's^ the reason I have opted for my master degree cyber security,Conversation
Okay that's good,Conversation
yeah and,Conversation
Surely staticky,Conversation
yeah Mr,Conversation
yeah,Conversation
yeah this game is like dobson boxes right^ we need to,Instruction
draw lines like horizontally and vertically,Instruction
Okay^ by taking terms you know^ like^ I will dry land and you draw a line because in general dramatically then after,Instruction
We complete three lines on this plane right,Instruction
Now one who completes is clear^ David you get one point,Instruction
Okay,Instruction
yeah,Conversation
yeah yeah really,Conversation
completed yeah^ we need to form a box right,Conversation
yeah,Conversation
yeah then,Conversation
let's play I got you,Conversation
yeah so shall I start or,Conversation
This game is interesting,Conversation
yeah did you play this game before anytime,Conversation
yeah,Conversation
Oh that's great,Conversation
Oh,Conversation
I remember this big one^ like with a lot of dodge,Conversation
It more interesting,Conversation
yeah yes,Conversation
it's my turn I think so,Conversation
yeah,Conversation
yeah,Conversation
So,Conversation
yeah I think you need to give me one Square,Conversation
No water chance^ I think,Conversation
here,Conversation
squares I think so,Conversation
yeah,Conversation
yeah,Conversation
we'll be getting full number of squares I think so,Conversation
This,Conversation
one,Conversation
This is tic TAC toe game,Conversation
Okay yeah the game is basically,Instruction
About,Instruction
About,Instruction
driving the symbols^ you know^ like one one house to,Instruction
Another so Dr X,Instruction
Okay yeah that that you need,Instruction
When same row or same column has same symbols like we have if we have three access in the same row,Instruction
Then again^ then the person wins OK,Instruction
OK^ I think the game,Conversation
yeah^ this is the dental X game,Conversation
