Utterance,Type
I really how are you,Conversation
buddy i'm fine^ how are you,Conversation
i'm good,Conversation
yeah okay,Conversation
let's start the game,Conversation
Okay yeah i'm sharing the screen,Conversation
Okay^ video be the experienced player for this game,Conversation
yeah,Conversation
Okay,Conversation
First^ you have to start then,Instruction
third line first two dots,Instruction
here,Instruction
Third^ third line I mean third column third row,Instruction
Okay,Conversation
buster here,Conversation
Yes^ yeah,Conversation
yeah beekeeping here,Conversation
very long to keep it next,Conversation
Next to you horizontally next to that point origin,Instruction
Yes^ yeah,Conversation
heal and we do want to keep it next,Conversation
summer in the corner of stopping right corner,Conversation
yeah,Conversation
yeah hot agenda^ no problem^ not quite,Conversation
ready for that,Conversation
No problem yeah This is my next,Conversation
hmm same as in the same in the descent left in,Conversation
A vertical line you,Conversation
know he,Conversation
left the Left corner,Conversation
Yes,Conversation
I think this is your turn right,Conversation
huh yeah it's fine,Conversation
yeah I will give it to,Conversation
me oh you'd have to change that,Conversation
yeah,Conversation
it's your turn now,Conversation
shift over to chain,Conversation
it's my alka draw that here there,Conversation
huh,Conversation
Okay^ should I put this here,Strategy
Okay^ I think^ sorry it's my turn it on,Conversation
yours,Conversation
Okay^ I really do want to keep me,Strategy
In the middle in the middle^ right up the first two dogs okay,Strategy
yeah yours is an extreme,Conversation
Next^ one line,Conversation
Yes,Conversation
column,Conversation
column,Conversation
There don't,Conversation
Yes,Conversation
Third column last two lines vertically downwards yeah word color thorough thorough,Conversation
here,Conversation
No,Conversation
Vertical lines or declines third third last I don't know no no,Conversation
Next,Conversation
Okay,Conversation
We have two parallel red lines right,Conversation
Next to,Conversation
No^ no^ no^ a dare dare to decide,Conversation
he'll,Conversation
Know next today,Conversation
yeah left no left,Conversation
It is,Conversation
Fourth column,Conversation
know,Conversation
This is the fourth column,Conversation
From the third,Conversation
to left,Conversation
Third^ you don't,Conversation
know,Conversation
here know,Conversation
Up to the Ts that one,Conversation
yeah yes,Conversation
yeah to keep me,Conversation
Okay,Conversation
calm,Conversation
down,Conversation
This is,Conversation
me this is,Conversation
Okay^ make it a square and,Conversation
one,Conversation
This is just,Conversation
me,Conversation
ready to keep me next,Conversation
Top at the top^ is the,Conversation
Horizontal yes,Conversation
Your score history my score is too okay,Conversation
Well^ just right to in my boxes and one your booklet is better it's,Conversation
Okay it's been in a number,Conversation
is one item 345,Conversation
and six,Conversation
yeah,Conversation
Go ahead and make this grid or,Conversation
Four by,Conversation
six,Conversation
yeah,Conversation
I think our boats closer seem to laugh,Conversation
To keep,Conversation
Okay^ keep dry anyway it's fine,Conversation
yeah,Conversation
789,Conversation
Night yeah,Conversation
Yes,Conversation
dvr score his name,Conversation
We score is six,Conversation
Oh me,Conversation
Oh^ I think i'm living off of this game,Conversation
Okay,Conversation
Okay^ stop the screen share should restart the,Conversation
Yes,Conversation
Okay,Conversation
yeah did you start this game,Conversation
Yes,Conversation
Where do you want to keep me,Conversation
There cross,Conversation
Is my,Conversation
Next to that,Conversation
Milk Ross,Conversation
died,Conversation
yeah,Conversation
yeah,Conversation
Okay,Conversation
You recorded right,Conversation
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
