Timestamp,Utterance,Type
1, hi lauren,Conversation
00:00:03.570 --> 00:00:04.680, And hygienist morning,Conversation
00:00:05.400 --> 00:00:06.450, yeah i'm doing good,Conversation
00:00:07.649 --> 00:00:09.750, If you don't mind^ can you introduce yourself,Conversation
00:00:09.840 --> 00:00:12.570, yeah she's wrong so i'm Simon,Conversation
00:00:13.620 --> 00:00:24.480, trembling masters in computer science and as my first semester I completed my undergrad in 2017 so since then i've worked in our startup company on our database for,Conversation
00:00:27.360 --> 00:00:29.670, Myself^ I am going to spend my tea,Conversation
00:00:30.960 --> 00:00:31.290, I,Conversation
00:00:32.310 --> 00:00:37.440, Do good on 2018 and I have a two years work experience in the seals,Conversation
00:00:39.870 --> 00:00:40.500, The deal,Conversation
00:00:42.150 --> 00:00:42.360, yeah,Conversation
00:00:42.540 --> 00:00:46.680, So then^ again share my screen and let's start playing the games,Instruction
00:00:47.340 --> 00:00:48.330, yeah so yeah,Conversation
00:00:51.660 --> 00:00:54.540, So I think i've sent you the link^ for her daughter inbox game,Conversation
00:00:56.040 --> 00:00:56.640, Yes^ yes,Conversation
00:01:06.750 --> 00:01:07.440, Yes,Conversation
00:01:10.410 --> 00:01:10.800, yeah,Conversation
00:01:11.790 --> 00:01:12.840, yeah okay so,Conversation
00:01:13.410 --> 00:01:13.980, Make difference,Conversation
00:01:15.720 --> 00:01:16.020, Okay,Conversation
00:02:29.550 --> 00:02:30.000, it's your,Conversation
00:02:31.380 --> 00:02:31.860, yeah,Conversation
00:02:34.290 --> 00:02:34.380, I,Conversation
00:02:36.960 --> 00:02:37.740, Know it's yours,Conversation
00:02:37.980 --> 00:02:38.250, I can,Conversation
00:02:53.580 --> 00:02:54.360, another chance to,Conversation
00:03:33.120 --> 00:03:33.660, chance,Conversation
00:04:10.740 --> 00:04:11.310, Can we move,Conversation
00:04:13.230 --> 00:04:14.190, Yes^ yes,Conversation
00:04:16.740 --> 00:04:17.010, Yes,Conversation
00:04:38.520 --> 00:04:39.030, Have you opened,Conversation
00:04:44.160 --> 00:04:45.960, me now yeah i'm going to open,Conversation
00:04:54.540 --> 00:04:56.220, Can you please show me the link again,Conversation
00:05:32.580 --> 00:05:33.510, Yes^ yes me,Conversation
00:06:04.500 --> 00:06:04.950, well,Conversation
00:06:06.270 --> 00:06:06.540, Okay,Conversation
00:06:07.050 --> 00:06:08.070,I think its parent,Conversation
00:06:09.870 --> 00:06:12.450, transcribing i'm a newbie and your experience,Conversation
00:06:14.340 --> 00:06:14.760, Okay,Conversation
00:06:15.030 --> 00:06:16.890, All right^ yeah you can play,Conversation
00:06:18.780 --> 00:06:21.450, And we playing as a newbie and you can experience,Conversation
00:06:46.950 --> 00:06:48.540, Okay yeah,Conversation
00:06:51.660 --> 00:06:52.350, Thank you^ thank you,Conversation
00:06:52.920 --> 00:06:53.640, Thank you very much,Conversation
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
