Utterance,Type
hi,Conversation
hi hi ,Conversation
yeah how are you,Conversation
yeah i'm good What about you,Conversation
Well done programming assignment,Conversation
yeah I haven't completed today,Conversation
yeah do you do because of my laptop i'm really sorry for that,Conversation
Okay it's Okay^ but I have done it completed,Conversation
let's yeah,Conversation
I always,Conversation
just leave me with your,Conversation
yeah I like to draw,Conversation
yeah i'm not doing it,Conversation
artist,Conversation
Nice my,Conversation
Programming assignment help does^ because one of my teammate is not responding yourself teammate is also,Conversation
So yeah we have done to whether they defend my research I contacted you,Conversation
yeah I,Conversation
still do to this assignment,Conversation
yeah,Conversation
Oh^ shall we start the game^ then,Conversation
yeah what we have to do like,Conversation
him his game squids,Instruction
some thoughts on on that I will draw one line,Instruction
And then you're done,Instruction
Okay,Conversation
Okay,Conversation
Oh^ the person who draws more squares is the winner,Instruction
Okay^ then okay,Conversation
yeah,Conversation
If you complete van Square and then you'll get one more chance to draw another line,Instruction
Okay^ what I can understand that,Conversation
Okay i'll explain you after she,Conversation
yeah,Conversation
Can you see my screen,Conversation
yeah yeah or too dark right,Conversation
First,Conversation
And the experience player^ you are the newbie player,Conversation
Okay well i'll start the game I keep the line over here,Strategy
The next one is us,Conversation
Naka de or you can keep a line anywhere,Strategy
Okay Kathy the two dots right,Strategy
yeah two dots and the next one is mine,Strategy
Now,Conversation
We have to complete the square to win,Instruction
yeah Square and if you complete it^ if you complete the square by drawing one line,Instruction
Then you get,Conversation
A chance,Conversation
Okay yeah,Conversation
Go,Conversation
bang bang bang,Conversation
yeah I shall we start again,Conversation
yeah,Conversation
New is mine and red will be worse okay,Conversation
Okay^ then you will be starting the game right,Conversation
Yes,Conversation
yeah,Conversation
Yes,Conversation
I will be keep paying the top left with,Strategy
This one,Conversation
No^ not the right one,Conversation
But tickle tickle,Conversation
yeah yeah and,Conversation
Then you're going to do,Conversation
you're going to complete it then haven't blogged,Conversation
Blocking,Conversation
Oh,Conversation
I would like to draw like the upper one of your square right,Strategy
yeah it was if you draw a line here,Strategy
Then here^ then I can complete here^ it would become a box for me,Strategy
How I can get it,Strategy
As you have kept this one over here,Strategy
is mine and I will be I would become a box and I will be the winner,Strategy
But you it's your,Conversation
box right,Conversation
Here Square,Conversation
Square,Conversation
yeah^ but it has to be your clients right,Conversation
No it's not like that,Conversation
yeah,Conversation
It can be us to,Conversation
yeah it's next it's your turn where do where do want to give me,Strategy
Okay okay okay God God God,Conversation
yeah,Conversation
The next door yours^ the horizontal line,Conversation
The don was,Conversation
In the fourth row yeah,Conversation
yeah yeah,Conversation
yeah,Conversation
yeah,Conversation
The third row,Conversation
The continuation^ the vertical line,Conversation
here on the vertical one from the top 100,Conversation
yeah yeah,Conversation
Okay,Conversation
you're continuing,Conversation
yeah,Conversation
The touch with your snow like,Conversation
here,Conversation
Okay,Conversation
take a long time,Conversation
What happened,Conversation
yeah Can you see the screen,Conversation
Now,Conversation
i'm making,Conversation
My,Conversation
yeah sorry sorry my bad,Conversation
yeah okay,Conversation
go with the,Conversation
Top,Conversation
Okay yeah,Conversation
yeah number two,Conversation
Okay,Conversation
let's,Conversation
go with the,Conversation
Second^ the second or third call,Conversation
Here yeah from there to the point yeah,Conversation
it's my turn,Conversation
Okay,Conversation
going to be,Conversation
My God,Conversation
Okay^ the last row second point,Conversation
For me yeah,Conversation
straight line,Conversation
No^ no up,Conversation
here,Conversation
Oh yeah yeah,Conversation
yeah,Conversation
I think they're,Conversation
going to be tricky,Conversation
yeah,Conversation
you're done,Conversation
Okay,Conversation
The second row from third to fourth point,Conversation
I can go,Conversation
Here^ no^ no^ no^ oh yeah,Conversation
Okay,Conversation
Oh^ my,Conversation
yeah let's do it,Conversation
Okay^ then,Conversation
The top left turn and the side one yeah,Conversation
yeah,Conversation
Somebody Square,Conversation
Okay,Conversation
And then the down one,Conversation
