Utterance,Type
 hey there^ and how are you,Conversation
 i'm good i'm good,Conversation
i'm good,Conversation
 So I am,Conversation
 i'm a PhD student here in university of North Texas i'm doing my PhD in computer science and engineering department,Conversation
 My concentration is in self driving vehicles and how about you,Conversation
 yeah i'm also the PhD student,Conversation
 In computer science,Conversation
 This is my second year,Conversation
 Currently^ have folks on the story project as well,Conversation
 Oh^ so we have the same response feel right,Conversation
 yeah we have pretty much the same,Conversation
 Research split,Conversation
 Right when^ and I remember we're partners as well,Conversation
 Right now,Conversation
 Okay now let's start the game^ without any further delay,Conversation
 So i'll go through the,Instruction
 Different instruction^ as you can see in the screen different rules that you have to follow in order to play the squares game,Instruction
 alright,Conversation
 So this game requires two or more players^ the first player draws a line from any to any vertically or horizontally at the Center,Instruction
 Right and the next player^ does the same thing^ so you have a draw a line from one to another Doc it should be at this^ and that means the dod that is right next to the dod that you are starting to draw the line from,Instruction
 Okay,Conversation
 Okay,Conversation
 All right^ and the bear continue to take turns drawing the line in the same way,Conversation
 Okay,Conversation
 Okay y'all did the so basically the goal of the game is to form a square by joining four dots,Instruction
 So^ once you join four dots and make a square You can write your name inside and you'll have one point so as many point is you get or as many squares you make you can write as many sales^ as you want and player with the highest number of initials,Instruction
 Inside the squares will be the winner,Instruction
 you're doing okay,Conversation
 All right now^ I think we can start the game right,Conversation
 Yes^ okay,Conversation
All right,Conversation
 I think it's your turn,Conversation
 You can draw a line,Instruction
 Just click one dot and click another dot I n E two dot that you can you know you want to join,Instruction
 So it's my turn,Conversation
mm hmm,Conversation
 I cannot keep that,Conversation
 Maybe I refresh,Conversation
 This page,Conversation
 Okay,Conversation
 Or maybe you can start another game,Conversation
 yeah maybe Okay^ here we go it's work,Conversation
 All right now it's my turn,Conversation
yeah,Conversation
 What I can,Conversation
 What I can,Conversation
 click any,Conversation
 Did you reload the page,Conversation
 yeah rid of the page oh,Conversation
 I can't click,Conversation
 click here go so Luke said^ we have a Double Click,Conversation
OK,Conversation
 He still does not work for me okay I,Conversation
 Go,Conversation
 Your turn yeah matter,Conversation
 mm hmm so okay,Conversation
 Oh OK,Conversation
 I see for you here,Conversation
 Right yeah that's how you play,Conversation
 So that means you don't you don't need to click report you just click on,Conversation
 The line right,Conversation
yeah,Conversation
 You have one second okay you your time you ran I ran out of time,Conversation
 Oh okay,Conversation
 All right^ it's your time,Conversation
again,Conversation
 So,Conversation
 The whole,Conversation
 here,Conversation
huh,Conversation
 Oh Nice,Conversation
 Your turn give it seconds okay Nice,Conversation
 Oh,Conversation
 You shouldn't have done that,Strategy
 We have so many other places to put on the line,Strategy
 you're done,Conversation
that's,Conversation
 See,Conversation
 Nice Nice,Conversation
 Now^ another line you're done,Conversation
 A reboot of this game,Conversation
 yeah I,Conversation
 actually used to play this game before,Conversation
Okay,Conversation
 Okay,Conversation
 yeah it's your turn now,Conversation
 Do you,Conversation
 Okay down,Conversation
 The,Conversation
 line,Conversation
 Okay,Conversation
 No problem,Conversation
 You have six,Conversation
 seconds yeah your time did,Conversation
 You do that,Conversation
 Your turn,Conversation
 My turn,Conversation
 done,Conversation
 Oh Nice,Conversation
Your,Conversation
 turn again,Conversation
 Your turn,Conversation
 Then,Conversation
 I missed,Conversation
 Yes,Conversation
 yeah,Conversation
 it's your turn now,Conversation
 Oh sorry,Conversation
 damn,Conversation
 Oh Nice,Conversation
